Country or Area,"Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
Senegal,"2012","800110","Tin not alloyed unwrought","Import","28581","1266","Weight in kilograms","1266"
Senegal,"2012","800120","Tin alloys unwrought","Import","5543","458","Weight in kilograms","458"
Senegal,"2012","800300","Tin bars, rods, profiles and wire","Import","12018","2356","Weight in kilograms","2356"
Senegal,"2012","800700","Tin articles nes","Import","561","727","Weight in kilograms","727"
Senegal,"2012","800700","Tin articles nes","Export","95","15","Weight in kilograms","15"
Senegal,"2011","800110","Tin not alloyed unwrought","Import","2757","3111","Weight in kilograms","3111"
Senegal,"2011","800120","Tin alloys unwrought","Import","12875","650","Weight in kilograms","650"
Senegal,"2011","800300","Tin bars, rods, profiles and wire","Import","57766","22749","Weight in kilograms","22749"
Senegal,"2011","800300","Tin bars, rods, profiles and wire","Export","19333","420","Weight in kilograms","420"
Senegal,"2011","800700","Tin articles nes","Import","9040","1176","Weight in kilograms","1176"
Senegal,"2011","800700","Tin articles nes","Export","1484","2404","Weight in kilograms","2404"
Senegal,"2010","800110","Tin not alloyed unwrought","Import","727","150","Weight in kilograms","150"
Senegal,"2010","800120","Tin alloys unwrought","Import","1125","195","Weight in kilograms","195"
Senegal,"2010","800300","Tin bars, rods, profiles and wire","Import","28778","6056","Weight in kilograms","6056"
Senegal,"2010","800700","Tin articles nes","Import","4021","1876","Weight in kilograms","1876"
Senegal,"2009","800120","Tin alloys unwrought","Import","3308","2942","Weight in kilograms","2942"
Senegal,"2009","800300","Tin bars, rods, profiles and wire","Import","22049","26925","Weight in kilograms","26925"
Senegal,"2009","800700","Tin articles nes","Import","17006","4021","Weight in kilograms","4021"
Senegal,"2009","800700","Tin articles nes","Export","3635","351","Weight in kilograms","351"
Senegal,"2008","800120","Tin alloys unwrought","Import","5407","500","Weight in kilograms","500"
Senegal,"2008","800200","Tin waste or scrap","Import","674","285","Weight in kilograms","285"
Senegal,"2008","800300","Tin bars, rods, profiles and wire","Import","46823","13044","Weight in kilograms","13044"
Senegal,"2008","800700","Tin articles nes","Import","160110","13788","Weight in kilograms","13788"
Senegal,"2008","800700","Tin articles nes","Export","1041","52","Weight in kilograms","52"
Senegal,"2007","800110","Tin not alloyed unwrought","Import","86","145","Weight in kilograms","145"
Senegal,"2007","800120","Tin alloys unwrought","Import","3241","2785","Weight in kilograms","2785"
Senegal,"2007","800300","Tin bars, rods, profiles and wire","Import","102002","13508","Weight in kilograms","13508"
Senegal,"2007","800400","Tin plates, sheets and strips, thickness > 0.2 mm","Import","377","159","Weight in kilograms","159"
Senegal,"2007","800510","Tin foil (thickness < 0.2 mm)","Import","2285","31","Weight in kilograms","31"
Senegal,"2007","800600","Tin pipes or tubes and pipe fittings","Import","2514","4763","Weight in kilograms","4763"
Senegal,"2007","800700","Tin articles nes","Import","6944","2043","Weight in kilograms","2043"
Senegal,"2007","800700","Tin articles nes","Export","6403","200","Weight in kilograms","200"
Senegal,"2006","800110","Tin not alloyed unwrought","Import","5185","3850","Weight in kilograms","3850"
Senegal,"2006","800120","Tin alloys unwrought","Import","4096","291","Weight in kilograms","291"
Senegal,"2006","800300","Tin bars, rods, profiles and wire","Import","18062","6059","Weight in kilograms","6059"
Senegal,"2006","800510","Tin foil (thickness < 0.2 mm)","Import","1683","2130","Weight in kilograms","2130"
Senegal,"2006","800600","Tin pipes or tubes and pipe fittings","Import","1651","1890","Weight in kilograms","1890"
Senegal,"2006","800700","Tin articles nes","Import","1095","892","Weight in kilograms","892"
Senegal,"2006","800700","Tin articles nes","Export","7053","844","Weight in kilograms","844"
Senegal,"2005","800110","Tin not alloyed unwrought","Export","4240","90","Weight in kilograms","90"
Senegal,"2005","800120","Tin alloys unwrought","Import","5304","210","Weight in kilograms","210"
Senegal,"2005","800300","Tin bars, rods, profiles and wire","Import","10016","1947","Weight in kilograms","1947"
Senegal,"2005","800510","Tin foil (thickness < 0.2 mm)","Import","27317","2336","Weight in kilograms","2336"
Senegal,"2005","800600","Tin pipes or tubes and pipe fittings","Import","2457","454","Weight in kilograms","454"
Senegal,"2005","800700","Tin articles nes","Import","1016","1648","Weight in kilograms","1648"
Senegal,"2005","800700","Tin articles nes","Export","183","47","Weight in kilograms","47"
Senegal,"2004","800110","Tin not alloyed unwrought","Import","140","14","Weight in kilograms","14"
Senegal,"2004","800120","Tin alloys unwrought","Import","13311","14053","Weight in kilograms","14053"
Senegal,"2004","800300","Tin bars, rods, profiles and wire","Import","17937","2106","Weight in kilograms","2106"
Senegal,"2004","800300","Tin bars, rods, profiles and wire","Export","447","100","Weight in kilograms","100"
Senegal,"2004","800510","Tin foil (thickness < 0.2 mm)","Import","4956","427","Weight in kilograms","427"
Senegal,"2004","800600","Tin pipes or tubes and pipe fittings","Import","277","141","Weight in kilograms","141"
Senegal,"2004","800700","Tin articles nes","Import","3199","2324","Weight in kilograms","2324"
Senegal,"2004","800700","Tin articles nes","Export","836","103","Weight in kilograms","103"
Senegal,"2003","800300","Tin bars, rods, profiles and wire","Import","19113","9395","Weight in kilograms","9395"
Senegal,"2003","800300","Tin bars, rods, profiles and wire","Export","1724","500","Weight in kilograms","500"
Senegal,"2003","800400","Tin plates, sheets and strips, thickness > 0.2 mm","Import","3917","998","Weight in kilograms","998"
Senegal,"2003","800510","Tin foil (thickness < 0.2 mm)","Import","150","5","Weight in kilograms","5"
Senegal,"2003","800700","Tin articles nes","Import","4880","3644","Weight in kilograms","3644"
Senegal,"2003","800700","Tin articles nes","Export","705","167","Weight in kilograms","167"
Senegal,"2002","800300","Tin bars, rods, profiles and wire","Import","6860","2731","Weight in kilograms","2731"
Senegal,"2002","800400","Tin plates, sheets and strips, thickness > 0.2 mm","Import","251","156","Weight in kilograms","156"
Senegal,"2002","800510","Tin foil (thickness < 0.2 mm)","Import","1325","33","Weight in kilograms","33"
Senegal,"2002","800700","Tin articles nes","Import","13463","6812","Weight in kilograms","6812"
Senegal,"2001","800120","Tin alloys unwrought","Import","40","7","Weight in kilograms","7"
Senegal,"2001","800300","Tin bars, rods, profiles and wire","Import","25779","9412","Weight in kilograms","9412"
Senegal,"2001","800510","Tin foil (thickness < 0.2 mm)","Import","896","20","Weight in kilograms","20"
Senegal,"2001","800700","Tin articles nes","Import","7947","3784","Weight in kilograms","3784"
Senegal,"2000","800120","Tin alloys unwrought","Import","4430","558","Weight in kilograms","558"
Senegal,"2000","800300","Tin bars, rods, profiles and wire","Import","8924","2529","Weight in kilograms","2529"
Senegal,"2000","800600","Tin pipes or tubes and pipe fittings","Import","121","97","Weight in kilograms","97"
Senegal,"2000","800700","Tin articles nes","Import","1965","376","Weight in kilograms","376"
Senegal,"1999","800300","Tin bars, rods, profiles and wire","Import","25641","11151","Weight in kilograms","11151"
Senegal,"1999","800510","Tin foil (thickness < 0.2 mm)","Import","742","55","Weight in kilograms","55"
Senegal,"1999","800700","Tin articles nes","Import","4219","332","Weight in kilograms","332"
Senegal,"1998","800120","Tin alloys unwrought","Import","5313","542","Weight in kilograms","542"
Senegal,"1998","800200","Tin waste or scrap","Import","3970","959","Weight in kilograms","959"
Senegal,"1998","800300","Tin bars, rods, profiles and wire","Import","12160","2975","Weight in kilograms","2975"
Senegal,"1998","800400","Tin plates, sheets and strips, thickness > 0.2 mm","Import","742","101","Weight in kilograms","101"
Senegal,"1998","800700","Tin articles nes","Import","4191","364","Weight in kilograms","364"
Senegal,"1997","800120","Tin alloys unwrought","Import","4784","496","Weight in kilograms","496"
Senegal,"1997","800200","Tin waste or scrap","Import","2765","1125","Weight in kilograms","1125"
Senegal,"1997","800300","Tin bars, rods, profiles and wire","Import","18927","6073","Weight in kilograms","6073"
Senegal,"1997","800700","Tin articles nes","Import","6989","674","Weight in kilograms","674"
Senegal,"1996","800110","Tin not alloyed unwrought","Import","2927","242","Weight in kilograms","242"
Senegal,"1996","800120","Tin alloys unwrought","Import","9264","695","Weight in kilograms","695"
Senegal,"1996","800200","Tin waste or scrap","Import","772","289","Weight in kilograms","289"
Senegal,"1996","800300","Tin bars, rods, profiles and wire","Import","12608","6667","Weight in kilograms","6667"
Senegal,"1996","800510","Tin foil (thickness < 0.2 mm)","Import","466","17","Weight in kilograms","17"
Senegal,"1996","800600","Tin pipes or tubes and pipe fittings","Import","101","30","Weight in kilograms","30"
Senegal,"1996","800700","Tin articles nes","Import","16829","1277","Weight in kilograms","1277"
